Keskustori,61.498164674,23.76083029,0,0
Hopealinjat,61.495072,23.759612,1,32
Union,61.496186,23.761214,2,43
Fat Lady,61.498437,23.767848,3,30
London,61.498639,23.76656,4,20
Ilona,61.497219,23.767453,5,13
Ruby & Fellas,61.49757,23.762918,6,40
Cafe Europa,61.497709,23.769066,7,11
Bricks,61.497709,23.758527,8,41
Space Bowling,61.497261,23.756773,9,28
Sticky Wingers,61.497835,23.770546,10,21
Roska,61.498535,23.768257,11,14
Henryâ€™s Pub,61.497993,23.76654,12,14
Bar Passion,61.498475,23.777849,13,11
Ale Pub,61.497168,23.755824,14,21
Ale-Bar Pikajuna,61.498192,23.769772,15,10
Jack the Rooster,61.500938,23.763801,16,19
Pelaamo,61.498835,23.756421,17,10
Poro,61.4955,23.766133,18,20
